team,matches_played,wins,draws,losses,goals_scored,goals_conceded,avg_goals_scored,avg_goals_conceded,win_rate,draw_rate,loss_rate,goal_difference
Singapore,694,218,141,335,933,1267,1.3443804034582132,1.8256484149855907,0.31412103746397696,0.20317002881844382,0.4827089337175792,-334
Portugal,693,347,159,187,1223,776,1.7647907647907648,1.1197691197691197,0.5007215007215007,0.22943722943722944,0.2698412698412698,447
Uganda,685,285,182,218,1030,809,1.5036496350364963,1.181021897810219,0.41605839416058393,0.2656934306569343,0.3182481751824818,221
Kuwait,683,285,178,220,1065,768,1.5592972181551976,1.1244509516837482,0.4172767203513909,0.26061493411420206,0.32210834553440704,297
Tunisia,676,296,189,191,974,684,1.4408284023668638,1.0118343195266273,0.4378698224852071,0.27958579881656803,0.28254437869822485,290
Ghana,669,311,174,184,1051,697,1.5710014947683109,1.0418535127055306,0.4648729446935725,0.2600896860986547,0.2750373692077728,354
Jamaica,660,257,154,249,880,870,1.3333333333333333,1.3181818181818181,0.3893939393939394,0.23333333333333334,0.37727272727272726,10
Nigeria,657,309,191,157,1000,658,1.5220700152207,1.0015220700152208,0.4703196347031963,0.2907153729071537,0.2389649923896499,342
Iraq,652,303,187,162,1003,606,1.5383435582822085,0.9294478527607362,0.4647239263803681,0.28680981595092025,0.24846625766871167,397
Malawi,642,219,181,242,752,830,1.1713395638629283,1.2928348909657321,0.3411214953271028,0.2819314641744548,0.37694704049844235,-78
Turkey,640,257,152,231,893,903,1.3953125,1.4109375,0.4015625,0.2375,0.3609375,-10
Senegal,636,298,168,170,880,596,1.3836477987421383,0.9371069182389937,0.46855345911949686,0.2641509433962264,0.2672955974842767,284
Colombia,636,256,176,204,818,735,1.2861635220125787,1.1556603773584906,0.4025157232704403,0.27672955974842767,0.32075471698113206,83
Ivory Coast,635,324,162,149,1040,633,1.6377952755905512,0.9968503937007874,0.510236220472441,0.2551181102362205,0.2346456692913386,407
Qatar,633,260,154,219,895,766,1.4139020537124802,1.2101105845181674,0.4107424960505529,0.24328593996840442,0.3459715639810427,129
Greece,631,240,154,237,792,875,1.255150554675119,1.386687797147385,0.3803486529318542,0.24405705229793978,0.375594294770206,-83
Republic of Ireland,630,241,178,211,851,768,1.3507936507936509,1.2190476190476192,0.3825396825396825,0.28253968253968254,0.3349206349206349,83
Honduras,619,247,161,211,909,796,1.4684975767366721,1.2859450726978998,0.3990306946688207,0.26009693053311794,0.3408723747980614,113
Cameroon,616,271,192,153,866,640,1.405844155844156,1.0389610389610389,0.43993506493506496,0.3116883116883117,0.2483766233766234,226
Algeria,615,286,162,167,948,613,1.5414634146341464,0.9967479674796748,0.46504065040650405,0.2634146341463415,0.27154471544715447,335
Morocco,614,304,171,139,906,493,1.47557003257329,0.8029315960912052,0.495114006514658,0.2785016286644951,0.2263843648208469,413
United Arab Emirates,612,246,152,214,867,760,1.4166666666666667,1.2418300653594772,0.4019607843137255,0.24836601307189543,0.34967320261437906,107
El Salvador,612,200,137,275,766,932,1.2516339869281046,1.522875816993464,0.32679738562091504,0.2238562091503268,0.4493464052287582,-166
Iran,610,347,144,119,1150,482,1.8852459016393444,0.7901639344262295,0.5688524590163935,0.2360655737704918,0.19508196721311474,668
Tanzania,599,163,171,265,660,892,1.1018363939899833,1.4891485809682805,0.27212020033388984,0.2854757929883139,0.44240400667779634,-232
Ecuador,589,181,157,251,712,902,1.2088285229202038,1.531409168081494,0.3073005093378608,0.266553480475382,0.42614601018675724,-190
